"employee_id","year","rating","fullname","grade_id","grade_name","education_id","education_level","years_of_service","iq","gtq","tiki","disc","mbti","pauli","faxtor","papi_n","papi_g","papi_a","papi_l","papi_p","papi_i","papi_t","papi_v","papi_o","papi_b","papi_s","papi_x","papi_c","papi_d","papi_r","papi_z","papi_e","papi_k","papi_f","papi_w","s_strategic","s_learner","s_achiever","s_relator","s_analytical","pillar_gdr","pillar_cex","pillar_ids","pillar_qdd","pillar_sto","pillar_sea","pillar_vcu","pillar_lie","pillar_ftc","pillar_csi"
"EMP100889","2025","3","Dwi Baskara Rohman","1","III","3","S2","6.166666666666666","102","19","8","SC","ENFP","64","30","3","2","7","5","2","7","9","4","7","4","9","4","7","2","3","9","9","5","2","5","0","0","0","0","0","4","3","3","3","3","3","2","2","3","4"
"EMP100792","2025","3","Budi Yudhistira Pratama","1","III","4","SMA","1.25","117","17","6","IC","ENTJ","64","79","3","8","2","9","2","8","3","5","1","6","4","4","3","5","7","2","5","6","2","1","0","0","1","1","0","99","3","4","5","5","3","5","3","4","5"
"EMP101730","2025","3","Indra Salsabila","2","IV","4","SMA","3.166666666666667","115","27","5","CI","ISFP","23","29","4","8","1","8","1","8","7","4","6","8","5","5","9","2","5","4","7","3","8","8","0","0","0","0","0","3","3","4","4","3","3","4","2","4","2"
"EMP100159","2025","3","Nabila Mahendra","3","V","1","D3","3.75","108","29","4","CI","INFJ","94","74","6","7","2","4","8","6","1","9","1","2","5","8","6","6","8","4","8","4","5","6","0","0","1","0","0","3","2","3","3","3","4","3","3","3","4"
"EMP100337","2025","3","Anisa Situmorang","1","III","4","SMA","7.25","85","22","4","UNKNOWN","ENTJ","53","78","7","4","3","3","7","5","4","3","1","1","5","3","2","1","1","3","1","2","3","5","0","0","0","0","1","2","3","3","3","4","4","3","3","3","4"
"EMP100647","2025","3","Vania Ganesha Ananda","1","III","2","S1","6.833333333333333","117","17","3","CD","ISTJ","69","93","4","7","7","5","6","8","2","8","5","5","2","4","6","7","6","2","1","5","9","2","0","0","1","0","0","2","3","4","3","2","3","3","3","3","3"
"EMP101867","2025","3","Rizki Rahmawati","1","III","3","S2","3","92","19","8","IS","ENTJ","74","58","5","8","8","6","8","1","2","5","3","4","8","3","3","5","9","6","1","2","2","5","0","0","1","1","0","3","2","3","3","3","3","2","2","3","4"
"EMP100592","2025","3","Galih Handayani","3","V","4","SMA","4.25","108","28","9","DI","ENTP","91","38","9","5","5","6","1","2","3","5","2","5","5","8","1","7","3","6","8","8","3","1","0","0","0","0","0","2","3","3","3","3","2","3","3","3","3"
"EMP100938","2025","3","Anisa Hasibuan","3","V","3","S2","3","108","27","7","CI","ENFJ","62","64","4","1","8","7","5","4","2","1","4","1","9","2","2","9","5","6","3","6","3","5","0","0","0","0","0","4","4","4","5","3","4","5","4","3","4"
"EMP101491","2025","3","Umar Yudhistira Maulida","1","III","3","S2","5.333333333333333","110","27","9","DI","INTJ","82","37","4","9","3","8","4","1","1","7","6","5","8","5","2","4","5","8","2","2","1","8","0","0","0","0","0","2","1","1","1","1","3","1","1","1","1"
