"employee_id","fullname","iq","gtq","education_level","mbti","final_match_rate","pillar_sea","pillar_qdd","pillar_vcu","pillar_lie","s_strategic","s_learner","s_achiever","s_relator","s_analytical","years_of_service"
"DUP1942","Dewi Fadillah Hidayat","108","27","S1","ISFP","53.325806451612900000","4","4","4","3","0","1","0","0","0","6.583333333333333"
"DUP2096","Putri Wibowo","111","27","S2","ISFJ","48.1230769230769100000000","4","4","4","4","0","0","0","0","0","4.083333333333333"
"DUP2722","Dewi Syahputra","124","18","S1","ISTJ","40.475186104218370000","2","2","1","2","0","0","0","0","1","2.75"
"DUP3015","Bayu Kurniawan","87","22","SMA","ESFP","51.8448028673835200000000","3","4","5","4","0","0","0","0","0","6.583333333333333"
"DUP3452","Fitri Anugrah Subekti","90","38","D3","ESFJ","53.615384615384630000","2","3","2","4","0","1","0","0","0","4.166666666666666"
"DUP4177","Adi Ginting","108","28","S1","ENTJ","49.229032258064500000","3","3","3","3","1","0","0","0","0","6.25"
"DUP5237","Fajar Fauziah","121","30","D3","ESFP","47.841687344913150000","4","2","2","3","0","1","0","0","1","0.6666666666666666"
"DUP9015","Umar Maulana","134","41","S2","ENTP","51.879900744416860000","4","4","4","4","0","0","0","1","0","4.166666666666666"
"DUP9129","Nabila Dharma Salsabila","93","36","SMA","ESFP","42.5175351530190200000000","4","2","4","3","0","0","0","0","0","4.166666666666666"
"DUP9801","Ayu Kusuma Santoso","131","28","S1","ISTJ","42.2461538461538400000000","5","5","5","4","0","0","0","0","0","0.5833333333333333"
"EMP100000","Rendra Pratama","94","33","S2","UNKNOWN","45.8222222222222000000000","2","2","2","2","0","0","0","0","0","5.333333333333333"
"EMP100001","Wulan Setiawan","94","17","D3","INTP","37.7091811414392000000000","3","3","3","3","0","0","0","0","0","1.3333333333333333"
"EMP100002","Julia Jatmiko Situmorang","109","20","S2","UNKNOWN","45.1218637992831400000000","3","3","3","3","0","0","0","0","0","4.833333333333333"
"EMP100003","Oka Halim","85","39","S1","ENTJ","37.1068376068376000000000","3","3","3","3","0","0","0","0","0","1.25"
"EMP100004","Dwi Pratama","134","21","D3","INTJ","46.6051282051282100000000","2","1","3","3","0","0","0","0","0","2.833333333333333"
"EMP100005","Bayu Zulfikar","130","21","S2","UNKNOWN","48.653763440860210000","2","2","2","2","0","0","0","1","0","5.5"
"EMP100006","Indra Santoso","139","27","D3","ESFP","53.322580645161300000","3","3","2","2","0","0","0","0","1","6.833333333333333"
"EMP100007","Rani Mahendra","99","17","S1","ESFJ","47.432616487455190000","3","3","3","4","1","0","0","0","0","4.666666666666666"
"EMP100008","Gita Permadi","137","23","SMA","INFP","43.1034188034187800000000","1","2","3","3","0","0","0","0","0","3.333333333333333"
"EMP100009","Julia Anggara","82","29","S2","ISFP","51.655555555555550000","3","3","4","4","0","0","0","1","1","6.416666666666666"
"EMP100010","Maya Jatmiko Handayani","84","42","D3","ESTJ","38.8468155500413800000000","5","5","3","4","0","0","0","0","0","2.416666666666667"
"EMP100011","Fajar Halim","125","31","S1","ENFP","50.1076923076923100000000","2","3","2","2","0","0","0","0","0","4.25"
"EMP100012","Rendra Tri Purnama","108","43","SMA","ISFJ","36.9769230769230870000000","2","1","2","2","0","0","0","0","0","0.25"
"EMP100013","Maya Mahendra","124","33","D3","ENTP","37.8736972704714670000000","3","4","3","3","0","0","0","0","0","0.25"
"EMP100014","Wahyu Indrawan","92","24","SMA","ISTJ","51.0702508960573500000000","4","3","5","3","0","0","0","0","0","5.416666666666666"
"EMP100015","Zahra Utama Setiawan","108","28","S1","ENFP","53.784615384615380000","2","1","1","1","0","0","1","0","1","2.333333333333333"
"EMP100016","Dinda Pramudita Ginting","97","34","D3","ISTP","50.488888888888880000","3","5","5","4","0","0","0","1","0","3.25"
"EMP100017","Fajar Mahendra","107","31","S1","ENTJ","47.0444444444444500000000","3","3","3","3","0","0","0","0","0","7.916666666666665"
"EMP100018","Arif Ginting","108","28","D3","ESFJ","48.6000000000000000000000","3","4","3","4","0","0","0","0","0","4.416666666666666"
"EMP100019","Rizki Iqbal Gunawan","125","23","S2","ISTP","48.303418803418810000","3","4","4","4","1","0","0","0","0","2.25"
"EMP100020","Yoga Erlangga Hartanto","132","33","SMA","ENFP","48.961538461538440000","3","3","3","3","0","0","0","0","1","2.583333333333333"
"EMP100021","Oka Candra Kurniawan","108","28","S1","INFP","44.8903225806451700000000","4","4","4","4","0","0","0","0","0","6.75"
"EMP100022","Oka Nugroho","91","35","S2","ISTP","53.955555555555560000","4","3","3","2","1","0","0","0","0","4.416666666666666"
"EMP100023","Adit Kurniawan","139","30","SMA","ESTJ","50.255334987593060000","2","2","1","2","1","0","0","0","0","4.083333333333333"
"EMP100024","Rendra Candra Maulida","134","23","S2","ESTP","46.7984560242624900000000","2","3","3","3","0","0","0","0","0","3.6666666666666665"
"EMP100025","Rizky Dharma Purnama","108","34","S1","ESTJ","51.546153846153860000","3","4","3","3","1","0","0","1","0","1.6666666666666667"
"EMP100026","Wulan Yudhistira Tamba","107","32","SMA","ESFJ","48.5250896057347700000000","1","3","1","2","0","0","0","0","0","5.416666666666666"
"EMP100027","Oka Rohman","97","18","S2","INFP","46.9888888888888900000000","3","3","3","2","0","0","0","0","0","11"
"EMP100028","Nadia Saputra","107","20","SMA","INFP","44.419658119658100000","3","3","3","3","1","0","0","0","0","1.8333333333333333"
"EMP100029","Satya Adi Hasibuan","105","29","D3","INTP","51.587179487179480000","2","3","4","4","0","1","0","0","0","2.666666666666667"
"EMP100030","Rizky Anugrah Permadi","110","22","S2","ESTJ","47.088888888888900000","3","4","3","2","0","0","0","1","0","4.666666666666666"
"EMP100031","Julia Nabila Kurniawan","103","35","SMA","INTJ","45.4606837606837500000000","5","4","5","5","0","0","0","0","0","2.833333333333333"
"EMP100032","Galih Mahardika Purnama","111","36","SMA","ENTJ","49.238461538461540000","5","5","5","4","0","1","0","0","0","2.833333333333333"
"EMP100033","Ahmad Simanjuntak","117","23","SMA","ENFP","46.5264957264957200000000","3","4","2","3","0","0","0","0","0","3.083333333333333"
"EMP100034","Ari Adi Ginting","116","35","SMA","ENFP","53.787096774193560000","3","5","5","5","0","0","1","1","0","7.166666666666666"
"EMP100035","Oka Tamba","103","28","S1","UNKNOWN","48.0060931899641500000000","3","2","1","1","0","0","0","0","0","4.75"
"EMP100036","Ayunda Utama Lestari","120","28","S1","ESFJ","53.800000000000000000","2","3","3","3","0","0","0","1","0","4.5"
"EMP100037","Nabila Ramadhan","108","27","S1","ISTJ","45.467741935483850000","2","1","1","1","0","0","0","0","1","4.333333333333333"
"EMP100038","Bella Tri Setiawan","93","36","SMA","ESFP","42.5175351530190200000000","2","2","2","2","0","0","0","0","0","4.166666666666666"
"EMP100039","Budi Adi Permadi","125","41","S2","ISFP","54.532258064516130000","3","2","1","3","0","1","0","0","0","5.416666666666666"
"EMP100040","Rifqi Putra","112","24","SMA","ESTP","53.117204301075280000","2","1","2","3","0","1","1","0","1","6.75"
"EMP100041","Lestari Maulana","86","25","S1","ISTJ","46.7301075268817200000000","1","1","1","1","0","0","0","0","0","8.25"
"EMP100042","Oka Lukman","139","25","SMA","ENFP","39.5014612627515700000000","3","3","2","3","0","0","0","0","0","2.333333333333333"
"EMP100043","Nugroho Indrawan","111","27","D3","ESFJ","56.192307692307690000","4","5","5","5","0","1","0","1","0","3.333333333333333"
"EMP100044","Indra Maulida","82","41","S1","ESFP","38.3520816101461200000000","4","4","5","4","0","0","0","0","0","0.6666666666666666"
"EMP100045","Dimas Mahendra","111","23","D3","ISTJ","43.0188034188034400000000","5","5","4","5","0","0","0","0","0","3.166666666666667"
"EMP100046","Fitri Lestari","108","27","S1","ISTJ","51.8000000000000000000000","3","4","2","3","0","0","0","0","0","5.333333333333333"
"EMP100047","Hadi Pradana","110","22","S2","ISTJ","47.0114695340501800000000","5","5","5","5","0","0","0","0","0","4.833333333333333"
"EMP100048","Adit Halim","125","36","SMA","ESFJ","47.612158808933020000","3","3","3","3","0","0","1","1","0","4.166666666666666"
"EMP100049","Rizki Halim Siregar","133","27","SMA","INTP","52.633995037220860000","5","4","5","3","1","0","1","0","0","2.916666666666667"
"EMP100050","Joko Ridwan","131","32","S1","UNKNOWN","56.625806451612910000","2","3","4","99","0","1","0","0","0","5.75"
"EMP100051","Ari Mahardika Nugroho","110","36","S2","INFP","60.503225806451610000","2","3","1","2","0","1","0","0","1","8.166666666666666"
"EMP100052","Sari Yudhistira Mahendra","126","36","S2","ISTJ","48.3456575682382000000000","3","4","4","4","0","0","0","0","0","1.9166666666666667"
"EMP100053","Anisa Pamungkas","140","23","S2","ISFJ","53.911111111111100000","4","2","3","3","0","1","0","0","0","4.333333333333333"
"EMP100054","Nugroho Maulida","88","36","S1","ISTJ","41.2841742486903800000000","3","2","3","3","0","0","0","0","0","1.8333333333333333"
"EMP100055","Putri Nugroho","124","26","SMA","INFJ","52.4547008547008500000000","5","4","4","4","0","0","0","0","0","3.5"
"EMP100056","Ayunda Ramadhan","111","27","S2","INTJ","51.535483870967730000","3","4","4","3","0","0","1","0","0","8"
"EMP100057","Nurlita Kusuma","123","35","D3","ENTP","49.912903225806440000","4","3","2","3","0","0","0","0","1","5"
"EMP100058","Adit Anugrah Halim","108","28","S1","INTJ","50.0000000000000000000000","4","3","4","4","0","0","0","0","0","5.5"
"EMP100059","Fajar Dharma Subekti","92","13","SMA","UNKNOWN","50.400000000000010000","5","5","4","4","0","1","0","0","0","6.25"
"EMP100060","Wulan Maulida","108","27","S1","ENTP","49.8615384615384600000000","3","3","3","3","0","0","0","0","0","3.6666666666666665"
"EMP100061","Oktavia Anugrah Setiawan","108","28","D3","ENTP","46.7751861042183600000000","3","2","2","2","0","0","0","0","0","3.8333333333333326"
"EMP100062","Valdo Jatmiko Mahendra","89","31","S2","ISTP","45.856106975461790000","2","3","3","3","0","1","0","0","0","3.333333333333333"
"EMP100063","Ayu Lestari Pradana","111","27","S2","ESFP","51.9769230769230800000000","3","2","3","3","0","0","0","0","0","3.5"
"EMP100064","Kurnia Purnama","96","26","D3","ESTP","44.131706644609870000","1","2","1","1","0","0","1","0","0","3.166666666666667"
"EMP100065","Rani Saputra","90","34","D3","ISFP","41.421836228287840000","4","5","5","3","0","1","0","0","0","2"
"EMP100066","Tania Lestari Setiawan","84","28","D3","ENTJ","53.066666666666680000","2","2","3","4","1","0","0","0","0","5.416666666666666"
"EMP100067","Indra Zulfikar","101","20","D3","INTJ","50.132974910394270000","4","4","3","3","1","0","0","0","0","7.416666666666665"
"EMP100068","Nabila Qolbi Suharto","111","16","SMA","INTP","44.5620071684587900000000","3","3","2","3","0","0","0","0","0","5.666666666666666"
"EMP100069","Anisa Permadi","93","36","S1","INFJ","51.934408602150530000","2","2","3","2","0","1","0","0","1","5.083333333333333"
"EMP100070","Kartika Rachman Ramadhan","137","36","D3","ENFJ","46.3158808933002600000000","3","3","2","3","0","0","0","0","0","3.9166666666666665"
"EMP100071","Rafa Situmorang","107","35","S1","ENTP","55.976702508960580000","3","3","2","3","1","0","1","0","0","6"
"EMP100072","Nugroho Hartanto","87","32","S2","INFP","49.758147229114980000","4","5","5","5","0","0","0","1","0","3.75"
"EMP100073","Dimas Halim Ananda","104","35","S2","ESTJ","47.577777777777790000","1","1","1","1","1","0","0","0","0","7.083333333333333"
"EMP100074","Ari Utama Putra","131","25","D3","INTJ","51.109401709401720000","1","3","2","3","0","0","1","1","0","2.666666666666667"
"EMP100075","Rizki Halim Zulfikar","111","27","SMA","INTP","41.7153846153846200000000","4","3","3","3","0","0","0","0","0","2"
"EMP100076","Rizki Wijaya","80","34","S2","ESFP","38.6459332781913580000000","4","4","3","4","0","0","0","0","0","0.3333333333333333"
"EMP100077","Novi Setiawan","135","32","S2","ENFJ","42.4468982630273100000000","3","3","2","3","0","0","0","0","0","2.916666666666667"
"EMP100078","Indra Anggara","84","19","SMA","ISTP","49.240501792114700000","4","5","5","5","0","0","1","0","0","3.25"
"EMP100079","Novi Hasibuan","122","23","D3","ISTJ","51.388530465949830000","3","4","4","4","1","0","1","0","0","5.583333333333333"
"EMP100080","Andi Mahardika Handayani","87","36","SMA","ENFJ","49.409015715467330000","4","5","4","5","0","0","1","0","0","3.583333333333333"
"EMP100081","Ari Yulianto","138","23","S2","ENFP","51.411111111111120000","3","5","3","5","0","1","0","0","0","7.083333333333333"
"EMP100082","Budi Dharma Lukman","133","27","SMA","INTP","48.3741935483870900000000","2","3","3","3","0","0","0","0","0","5.25"
"EMP100083","Rizka Erlangga Subekti","99","30","SMA","ENTJ","42.1538461538461600000000","5","3","4","4","0","0","0","0","0","1.5833333333333333"
"EMP100084","Dian Rachman Handayani","118","36","D3","UNKNOWN","43.5220843672456600000000","3","3","3","2","0","0","0","0","0","1.3333333333333333"
"EMP100085","Ahmad Rohman","108","26","S1","ENTJ","45.9117728149986200000000","1","1","1","3","0","0","0","0","0","1.8333333333333333"
